,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
2853,KbLI0QELlAwbfDUVwo43DQ,"""Cajun Yard Dog""",Arboretum,"""8036 Providence Rd, Ste 900""",Charlotte,NC,28277,35.0971237982,-80.7805609703,4.0,240,1,Restaurants;American (New);Salad;Cajun/Creole
2989,bNWW_GHLF4M9Pmao4nxpeg,"""701 Main""",,"""701 W South Main St""",Waxhaw,NC,28173,34.9235888,-80.7501152,3.5,5,1,Nightlife;Breakfast & Brunch;Restaurants;Bars;American (Traditional);Sandwiches
3010,Mva2fHrSRNjzyUb4uwlU-A,"""Papas Pizza To-Go""",,"""13649 Providence Rd""",Matthews,NC,28104,35.0234192217,-80.7608089446,4.0,15,1,Salad;Chicken Wings;Pizza;Restaurants
3021,1hBmklxIBhw9nu9NjOTaQA,"""Hello Sailor""",,"""20210 Henderson Rd, Ste 101""",Cornelius,NC,28031,35.487647,-80.888207,3.0,9,1,Bars;Seafood;Restaurants;Sports Bars;Nightlife
3117,1BNWWBwUVxQYUK-IKXRdxA,"""Jersey Mike's Subs""",,"""2908 Oak Lake Blvd""",Charlotte,NC,28208,35.190366,-80.922471,4.0,23,1,Sandwiches;Fast Food;Restaurants;Delis
3188,sVqV9lzvx98kWU39Fn4c6w,"""Sky Asian Bistro""",,"""9925 Leitner Dr""",Pineville,NC,28134,35.086754,-80.8810249,3.5,131,1,Buffets;Sushi Bars;Restaurants;Chinese;Asian Fusion;Seafood
3222,o2ddliVoWpPzRvXMqoshUA,"""The Chef""",Eastland,"""6023 Albemarle Rd""",Charlotte,NC,28212,35.2036261,-80.7425606,1.5,3,1,American (Traditional);Bars;Nightlife;American (New);Restaurants
3344,u00Ua_WOshbzi_QRBpY6zw,"""The Donut House""",,"""13803 Independence Blvd""",Indian Trail,NC,28079,35.08413,-80.65876,4.5,36,1,Donuts;Breakfast & Brunch;Food;Restaurants;Bakeries
3512,RRTAFcRPmlLaYIDGDS7gPA,"""Wendy's""",,"""1801 Sardis Rd N""",Charlotte,NC,28270,35.140334,-80.7362634,3.0,12,1,Restaurants;Fast Food;Burgers
3570,-T0M3exc6tC6sw5LjtVdDQ,"""Silver Bullet Diner""",Eastland,"""6003 Albemarle Rd""",Charlotte,NC,28212,35.203507,-80.743549,3.5,12,1,Burgers;Food;Restaurants;Breakfast & Brunch;Coffee & Tea
3577,9Xm2GfG8Rnbb1_CmXyrm3g,"""Coaltrane's Char Grill""",Plaza Midwood,"""1518 Central Ave""",Charlotte,NC,28205,35.2201725,-80.8126243,3.5,19,1,Salad;Sandwiches;American (Traditional);Argentine;Restaurants
3654,AhCL6qgm4-6vu3tH7ywYwQ,"""Phat Daddy's Cafe""",,"""2741 Old Monroe Rd""",Stallings,NC,28104,35.0870285034,-80.6960220337,3.5,38,1,Diners;Restaurants
3700,ZF0OSC01jVimSjAo9PdoEg,"""Cruzin Reubenz by Phil's Deli""",,"""8390 Charlotte Hwy""",Indian Land,SC,29707,34.9605281189,-80.8517844548,3.0,24,1,Restaurants;Delis
3731,8A_GP28T-gqf91qJRI-lDQ,"""Taco Bell""",Eastland,"""6424 Albemarle Rd""",Charlotte,NC,28212,35.20255,-80.73531,2.0,7,1,Tex-Mex;Restaurants;Mexican;Fast Food
3806,6QpC_1BM11WWrGT07JBAMw,"""Gyro Twins""",Plaza Midwood,"""""",Charlotte,NC,28205,35.2263714,-80.7990185,3.5,4,1,Restaurants;Event Planning & Services;Food;Greek;Food Trucks;Caterers
4003,AhbNhI6fyUlB1gB7vKX2Nw,"""Domino's Pizza""",,"""3901 Providence Rd S, Ste G""",Waxhaw,NC,28173,34.9390831,-80.750958,4.0,6,1,Restaurants;Chicken Wings;Pizza;Italian;Sandwiches
4071,r6Mnha9OrMMlY4S__bf_DA,"""Waffle House""",,"""278 Concord Pkwy S""",Concord,NC,28025,35.3963270574,-80.6119063492,2.5,6,1,American (Traditional);Restaurants;Diners;Breakfast & Brunch;Waffles
4074,hsbtcqamJjmL6ASCAWnQVw,"""Carmellas Pizza Grill""",South Park,"""1513 Montford Dr""",Charlotte,NC,28209,35.1707675107,-80.8502115901,3.5,17,1,Nightlife;Karaoke;Pizza;Bars;Restaurants
4082,170EB5mUxLCj-Tn_5t-_kw,"""Chin Garden""",,"""4420 The Plz, Ste D""",Charlotte,NC,28215,35.249628745,-80.7797294855,2.5,3,1,Szechuan;Cantonese;Restaurants;Chinese
4122,12speFaaT2nuz04Ckb1mbg,"""Owl Remodeling""",Starmount,"""627 Minuet Ln, Ste D""",Charlotte,NC,28217,35.1704541,-80.8788956,2.0,4,1,Roofing;Contractors;Windows Installation;Restaurants;Siding;Home Services;Hawaiian
4161,HrR_2-HUE6cqnoz1zMN9AQ,"""Pizzeria Omaggio""",Myers Park,"""1055 Metropolitan Ave, Ste 130""",Charlotte,NC,28204,35.2133541063,-80.8345772705,4.5,147,1,Food;Italian;Restaurants;Pizza
4197,gG2S0HPvInQDUKdCJmpfqA,"""Subway""",Third Ward,"""718 W Trade St, Ste G""",Charlotte,NC,28202,35.2331042877,-80.8496199619,2.5,14,1,Restaurants;Sandwiches;Fast Food
4291,Qsg-2Coum0ccbXuJWDwZqA,"""Dogwood Southern Table & Bar""",South Park,"""4905 Ashley Park Ln, Ste D""",Charlotte,NC,28210,35.145938695,-80.8300620574,4.5,221,1,Restaurants;American (New);Southern
4311,CDZarSyFd9s9gM24sF2VAQ,"""cheddars""",,"""Franklin Blvd""",Gastonia,NC,,35.261621627,-81.1410457274,3.0,6,1,American (New);Restaurants
4329,6TcheR_XpQ7Hms87wMCa2Q,"""Phipps Bistro""",,"""5501 Josh Birmingham Pkwy""",Charlotte,NC,28208,35.219378,-80.945041,3.5,6,1,Restaurants;American (Traditional)
4375,f12Zv1B9crmSW58iyTR_mA,"""Midwood Smokehouse""",Ballantyne,"""12410 Johnston Rd""",Charlotte,NC,28277,35.0701594,-80.8435633,4.0,228,1,Restaurants;Barbeque;Food;Smokehouse;American (Traditional)
4407,T6r1CjkbVHMsGpR2dlyXuQ,"""Sushiya Japan""",Arboretum,"""8200 Providence Rd, Ste 500""",Charlotte,NC,28277,35.0952753,-80.7791381,4.0,76,1,Restaurants;Food;Food Delivery Services;Japanese;Asian Fusion;Sushi Bars
4420,B2S7o3tImoCPrDVvJikVpw,"""Red@28th""",Villa Heights,"""2424 N Davidson St, Ste 112A""",Charlotte,NC,28205,35.241553,-80.812092,3.0,52,1,Shopping;Venues & Event Spaces;Coffee & Tea;Hookah Bars;Bookstores;Food;Restaurants;Event Planning & Services;Arts & Entertainment;Books;Mags;Music & Video;Bars;Nightlife
4566,y8ELffgkORhv6G8oZGJwUA,"""Il Bosco Ristorante and Bar""",,"""127 Depot St""",Davidson,NC,28036,35.5002583,-80.8490443,4.5,58,1,Restaurants;Italian
4569,bxsc4cJFKHCBO64k20kCOA,"""Papa John's Pizza""",,"""16235 Statesville Rd""",Huntersville,NC,28078,35.436211,-80.865706,2.0,8,1,Restaurants;Pizza
4613,uqYB53z5GrtzJq8WHTF-xg,"""Olive Garden Italian Restaurant""",,"""9421 Pineville Matthews Rd""",Pineville,NC,28134,35.086418,-80.877383,3.0,106,1,Salad;Bars;Nightlife;Restaurants;Italian;Wine Bars
4631,bZOvRyJ0wTsZWgEvWoQ_eg,"""Bobs Carry Out Pileem Up""",North Charlotte,"""3422 Statesville Ave""",Charlotte,NC,28206,35.266146,-80.836885,2.5,5,1,Restaurants;Burgers;Fish & Chips
4650,JTN1qe0UBT3T6zIWYcBtjg,"""Taco Bell""",,"""8425 Davis Lake Pkwy.""",Charlotte,NC,28269,35.33297,-80.810766,2.5,20,1,Restaurants;Fast Food;Mexican;Tex-Mex
4684,Gck19imUtC4SF8Ff9w_HGg,"""Burger King""",Steele Creek,"""8903 S Tryon St""",Charlotte,NC,28273,35.1370182,-80.936822,2.0,11,1,Fast Food;Burgers;Restaurants
4723,La_0EvTtRZOV-9AnG3ke6Q,"""Olio's""",,"""245 W Garrison Blvd, Ste H""",Gastonia,NC,28052,35.2526462402,-81.1862789553,4.0,11,1,American (New);Cafes;Venues & Event Spaces;Restaurants;Event Planning & Services
4770,QCSH3qx5smsDlESxVNwfEg,"""Which Wich""",Steele Creek,"""14318 Rivergate View Dr, Ste 100""",Charlotte,NC,28273,35.0986726707,-80.9882496938,4.0,23,1,Food;Restaurants;Sandwiches
4813,zwg2PdDB6hac2mMjYkUhaQ,"""Tour de Food""",Third Ward,"""""",Charlotte,NC,28202,35.2326781,-80.8460822,4.5,16,1,Restaurants;American (New);Food Tours;Wine Bars;Nightlife;Bars;Tours;Hotels & Travel
4835,ER0rUoLqAJQ2Mlv2_GnwyQ,"""Carolina Ale House""",,"""100 Kingsley Park Dr""",Fort Mill,SC,29715,35.0256985848,-80.9629357606,3.0,82,1,American (New);Restaurants;Pubs;American (Traditional);Bars;Diners;Nightlife;Sports Bars
4884,QxKTm1nGBZhCxCmOGCZdkA,"""Havana Carolina Restaurant & Bar""",,"""11 Union St S, Ste 108""",Concord,NC,28025,35.410539,-80.580681,3.5,65,1,Event Planning & Services;Bakeries;Nightlife;Restaurants;Food;Bartenders;Food Stands;Cafes;Bars;Cuban
4919,EcrfdFula0iNyPN-L6eZRw,"""Clean Eatz Lake Norman""",,"""17111 Kenton Dr, unit 101B""",Cornelius,NC,28031,35.4492385335,-80.8899337426,4.5,3,1,Sandwiches;Burgers;Salad;Restaurants;Food
4923,sEBh3wA2X66fExfjDY6L2Q,"""Rock Store BBQ""",,"""2538-B Cuthbertson Rd""",Waxhaw,NC,28173,34.9575199,-80.7574846,3.5,9,1,Restaurants;Barbeque
4941,PdCxX1QJnlBkvnG9fFjWYg,"""Sunflour Baking Company""",Elizabeth,"""2001 E 7th St""",Charlotte,NC,28204,35.2124,-80.817112,4.0,231,1,Food;Sandwiches;Coffee & Tea;Restaurants;Bakeries;Cafes
4953,3cHCPNlp9O7fY_RQKIJthQ,"""Viva Chicken""",,"""8694 Concord Mills Blvd""",Concord,NC,28027,35.3752147,-80.7299256,4.0,51,1,Peruvian;Restaurants
4962,VeFqptSzekFAc3FZOpi81Q,"""Alexander Michael's""",Fourth Ward,"""401 W 9th St""",Charlotte,NC,28202,35.23361,-80.840783,4.5,313,1,Nightlife;Local Flavor;Bars;Cajun/Creole;American (Traditional);Restaurants;Pubs;Comfort Food
4964,chcfXvsOD44UBYgX118vZQ,"""Jamile's Cuisine International""",Eastland,"""4808 Central Ave""",Charlotte,NC,28205,35.211276,-80.762534,4.5,10,1,Halal;Restaurants;African
5039,b9caA3rPbseGPG1oycDiCA,"""Waffle House""",Starmount,"""2125 W Arrowood Rd""",Charlotte,NC,28217,35.1458134603,-80.9240420535,2.0,13,1,Waffles;Diners;American (Traditional);Restaurants;Breakfast & Brunch
5140,dwAPMrdLwSn1KCsJzz_oLA,"""Hickory Tavern""",,"""1925 Hoffman Rd""",Gastonia,NC,28054,35.225924,-81.133374,3.0,38,1,Sports Bars;Bars;Nightlife;Chicken Wings;American (Traditional);Restaurants
5183,ak0zg848hiMkT1hQwnIf0w,"""Koffee Kup Cafeteria""",,"""1520 W Blvd, Ste H""",Charlotte,NC,28208,35.2168382005,-80.8820849285,4.5,13,1,Cafeteria;Soul Food;Restaurants;Southern
5228,k4qjWG2PdH_gUGcDEbhZFg,"""Jersey Mike's Subs""",,"""6028 Bayfield Pkwy""",Concord,NC,28027,35.4199165,-80.6765869,4.0,11,1,Restaurants;Fast Food;Delis;Sandwiches
5338,iAD5r5vNOzc1AP6UA5yFiQ,"""Bella Fresco""",Arboretum,"""8200 Providence Rd""",Charlotte,NC,28277,35.095238,-80.779082,4.0,125,1,American (New);Mediterranean;Restaurants;Italian;Gelato;Ice Cream & Frozen Yogurt;Cafes;Food;Hawaiian
5479,xSs1Z1OrWC_KmhY0SPKJ1Q,"""Shiki Japanese Restaurant""",,"""1848 Galleria Blvd, Ste K""",Charlotte,NC,28270,35.1386774,-80.7351694,3.5,82,1,Food;Japanese;Chicken Wings;Sushi Bars;Desserts;Restaurants;Noodles
5550,Pwh0CgmRU-VAV9O4OtNJRw,"""Sal's Roadside Eatery""",,"""""",Fort Mill,SC,,35.0073697,-80.9450759,3.0,7,1,Food Stands;Restaurants
5585,ocpvN411IJQk8X8_Sk6DFQ,"""Chinatown""",Steele Creek,"""101-399 Foothills Way""",Fort Mill,SC,29708,35.1027129831,-80.990064621,2.5,4,1,Imported Food;Restaurants;Ethnic Food;Specialty Food;Food;Chinese
5588,ugGwVOx0MOIHFBLFV3oYUg,"""Golden Bakery""",Eastland,"""3145-B N Sharon Amity Rd""",Charlotte,NC,28205,35.2036949,-80.7605768,4.5,16,1,Middle Eastern;Food;Restaurants;Bakeries
5656,JWVFRWIh8_n21HmJR5q4LQ,"""M's""",,"""19712 One Norman Blvd""",Cornelius,NC,28031,35.4816945,-80.8825269,4.0,4,1,Cocktail Bars;Nightlife;Music Venues;Mexican;Bars;American (New);Arts & Entertainment;Restaurants;Wine Bars
5701,-WnpBf7pAJNNFdvhv2sE5g,"""Chuck's Grill""",Derita,"""8001 Old Statesville Rd""",Charlotte,NC,28269,35.33005,-80.826374,4.0,47,1,American (Traditional);Mediterranean;Breakfast & Brunch;Restaurants;Greek
5726,TdLKAcHRwAr6OYG8RP7iWg,"""Park Road Soda Shoppe""",,"""4121 Park Rd""",Charlotte,NC,28209,35.1754275787,-80.8496666667,4.0,24,1,Restaurants;American (Traditional)
5730,-UV2tt3gy57-5a29paA_4w,"""Sub One Hoagie House""",Fourth Ward,"""516 N Graham St""",Charlotte,NC,28202,35.2340477,-80.841786,4.5,41,1,Sandwiches;Restaurants
5766,_gxjFeC5-9_gcb_QPlZS0g,"""Bojangles' Famous Chicken 'n Biscuits""",,"""10321 Cane Creek Dr""",Huntersville,NC,28078,35.371422978,-80.8308768612,2.0,7,1,Fast Food;Restaurants
5779,uz8ISWdE0OSJBjArw4P4Og,"""Mellow Mushroom""",Uptown,"""255 W Martin Luther King Blvd""",Charlotte,NC,28202,35.2258610579,-80.8477123135,3.0,162,1,Bars;Sandwiches;Pizza;Restaurants;Salad;Nightlife;Gluten-Free
5881,wJnhUJCOYkncLPZAwaMffA,"""Room 112""",Uptown,"""112 S Tryon St""",Charlotte,NC,28284,35.2270964,-80.8438287,3.5,228,1,Soup;Asian Fusion;Sushi Bars;Chinese;Restaurants
5884,HF6XT6l-dF2l1ZhMlnKB1Q,"""Mr Pollo""",,"""8169 Charlotte Hwy""",Fort Mill,SC,29707,34.9498041,-80.8471081,4.0,21,1,Latin American;Restaurants;Salad;Chicken Shop
5974,9k0kY4_NNu66MHYiruokjQ,"""Coffey Creek Cafe""",Steele Creek,"""1700 Center Park Dr""",Charlotte,NC,28217,35.174988,-80.9271542,3.0,11,1,Sandwiches;Restaurants
6027,vAgV7hgQF8IazGNRlNtDiw,"""Pizza Hut""",South Park,"""7802A Fairview Rd""",Charlotte,NC,28226,35.146999,-80.80925,2.0,24,1,Pizza;Italian;Restaurants;Chicken Wings
6120,la0ScEQYua2O01Mdau8Xkw,"""Famous Toastery""",,"""12715 Conner Dr""",Huntersville,NC,28078,35.4052094877,-80.8670972405,3.5,55,1,American (Traditional);Wraps;Restaurants;Breakfast & Brunch
6318,x0Ec6gz07SBnWrBOQLisiA,"""Chopt Creative Salad Co.""",,"""4125 Park Rd""",Charlotte,NC,28209,35.175325,-80.849762,4.0,211,1,Restaurants;Vegetarian;American (New);Specialty Food;Salad;Do-It-Yourself Food;Food;Sandwiches
6357,bX4gfj2Kj22Lwm-nSsnnfg,"""Ferrucci's Old Tyme Italian Market""",,"""20910 Torrence Chapel Rd""",Cornelius,NC,28031,35.4875889596,-80.875062168,4.5,50,1,Italian;Delis;Meat Shops;Food;Restaurants;Caterers;Event Planning & Services;Grocery;Specialty Food
6373,sxOoqlIxmlKmC1yGvPx3Fw,"""KFC""",,"""531 S Cannon Blvd""",Kannapolis,NC,28083,35.4968,-80.61,2.0,3,1,Restaurants;Fast Food;Chicken Wings
6417,VkPa6mYsHsiPPU6BQ3l4fQ,"""Giovanni's Pizza & Pasta""",,"""559 Winecoff School Rd""",Concord,NC,28027,35.4447062,-80.6241968,3.5,25,1,Pizza;Restaurants
6494,sT-KHTgJtjX0T5kESFDuUQ,"""Hungry Howie's Pizza""",,"""1707 Sardis Rd N""",Charlotte,NC,28270,35.1408432,-80.7378572,3.0,16,1,Pizza;Sandwiches;Restaurants
6514,Axf_3mlM19ox-VjmN3KZYw,"""Sophia's Lounge""",Fourth Ward,"""127 N Tryon St, Ste D""",Charlotte,NC,28202,35.2283621,-80.8427789,4.0,20,1,Lounges;Restaurants;Bars;Nightlife
6656,QjL_QaEJGRfyBS2-wuowGA,"""KO Sushi""",Uptown,"""230 S Tryon St""",Charlotte,NC,28202,35.226107,-80.845448,4.0,96,1,Japanese;Sushi Bars;Restaurants
